"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"5967",6523.54279067764,7.42942189302936,1.32838885361374,2.76885810562858e-12,2.12960983803461e-08,"REG1A"
"28930",394.186855246182,5.47267128009076,0.913648575226807,1.64252689745289e-12,2.12960983803461e-08,"IGKV1-39"
"28893",231.540505714452,4.92292998861798,0.800356816981157,3.53579584598142e-12,2.12960983803461e-08,"IGKV1D-39"
"28946",472.050932640087,4.33986178538102,0.710023665711938,6.55986378703396e-12,2.64947158759616e-08,"IGKJ5"
"28947",1106.56686918638,3.72047906875612,0.598786170256721,7.33153906579268e-12,2.64947158759616e-08,"IGKJ4"
"28475",379.541555566551,4.83407616638419,0.82119721213698,3.06609188147107e-11,9.23353570105014e-08,"IGHJ6"
"28825",925.729448985576,5.92194561701912,1.25056042915158,3.64772654631441e-11,9.41582442362217e-08,"IGLV1-40"
"3538",15645.2483463853,3.49802682982922,0.596751887016482,7.27862229569822e-11,1.64396782826214e-07,"IGLC2"
"655",739.52579365921,3.05969768311068,0.528195871000081,1.82751935485161e-10,3.66904969142375e-07,"BMP7"
"3514",45300.586401474,3.39995127098258,0.602146868357305,2.44436546268059e-10,4.41672395451755e-07,"IGKC"
"3500",39956.8741229626,2.94097482695043,0.514839846325154,4.27290247829017e-10,6.43392290668543e-07,"IGHG1"
"28832",2060.15807987419,3.29693750481764,0.590619845480459,4.23290827361124e-10,6.43392290668543e-07,"IGLJ2"
"129080",329.371386610827,3.03040544842014,0.539291102173054,7.03246606330652e-10,9.77458686906812e-07,"EMID1"
"4703",189.768037049301,3.7887011804952,0.70537354753644,9.09570578501719e-10,1.09566871886317e-06,"NEB"
"3541",256.155513923861,3.42161384423611,0.620593547821473,8.50232508121471e-10,1.09566871886317e-06,"IGLC5"
"28385",42.8089938237122,5.39261231024877,0.992451125702476,1.01902184203727e-09,1.15079410398572e-06,"IGHV6-1"
"28394",182.244145690679,5.22280622696811,1.15918087204772,2.92592669754926e-09,3.10991585282457e-06,"IGHV4-39"
"56001",71.6480288022865,6.97079328074971,1.36747855701223,3.21038685960375e-09,3.22269334256557e-06,"NXF2"
"3539",7055.59734649291,3.11294965784144,0.591899457201798,4.36300244609148e-09,4.149215326233e-06,"IGLC3"
"6700",162.672608701219,8.62428030881756,1.95248545974721,5.22103615208013e-09,4.7169451115968e-06,"SPRR2A"
"3537",5097.74785952439,3.26847660509886,0.656671119219109,6.72572440732782e-09,5.78700544361935e-06,"IGLC1"
"5266",3882.20182469593,5.2260595747033,1.08683891723517,8.37680472260613e-09,6.64765352530754e-06,"PI3"
"28831",454.922537832306,3.80076015269338,0.75844479742985,8.46178709845999e-09,6.64765352530754e-06,"IGLJ3"
"6703",135.787769767848,7.4619445120545,1.56756699116648,1.26359103321021e-08,9.21217147273768e-06,"SPRR2D"
"28809",99.7590825099238,3.71667044403302,0.731098097370103,1.27458236105176e-08,9.21217147273768e-06,"IGLV3-1"
"3493",33591.2658821947,4.71250152282862,1.12025723533753,1.84094500309627e-08,1.23200130596098e-05,"IGHA1"
"100885848",141.507867458459,-2.65122893827704,0.528225498156528,1.78429026696319e-08,1.23200130596098e-05,"PTGES3L"
