"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrezid"
"105378909",146.608883118892,-2.06935130501441,0.28267272808522,2.32913833169487e-15,2.91881104158472e-13,"LINC02884","105378909"
"51512",291.449066306524,1.4345002882204,0.190479663137221,2.54157556419062e-15,3.16799918854113e-13,"GTSE1","51512"
"105378728",42.5033791609302,2.23575921691274,0.302379397521459,2.55582812813441e-15,3.16881903397261e-13,"LOC105378728","105378728"
"101927969",51.4807592299186,-2.26613356319445,0.309130972481284,2.70209897061664e-15,3.33244576222769e-13,"SLIT3-AS2","101927969"
"9723",127.355986686959,-3.14982361600193,0.468258147694508,2.82833188716394e-15,3.46075644944156e-13,"SEMA3E","9723"
"1278",35571.8646825438,2.18806825358946,0.304084882105712,2.83583372020824e-15,3.46075644944156e-13,"COL1A2","1278"
"10807",880.712297504884,1.05105678845266,0.137512681681708,2.98679061351344e-15,3.62599491720754e-13,"ENTR1","10807"
"2209",140.920173601497,2.17495430133628,0.300784261427404,3.15602090914388e-15,3.81159022648885e-13,"FCGR1A","2209"
"6286",1689.71176353643,3.72078028658172,0.571280815913743,3.2989862749794e-15,3.9497522215953e-13,"S100P","6286"
"6662",1712.30589008422,1.66767380884187,0.225367272538676,3.30431028019685e-15,3.9497522215953e-13,"SOX9","6662"
"5152",1241.72219352672,-1.43980100509481,0.192217379840358,3.36247112737986e-15,3.99876732184169e-13,"PDE9A","5152"
"79762",1241.07983391982,-1.56873568102646,0.210987741536667,3.71369480009212e-15,4.39403614697194e-13,"C1orf115","79762"
"285958",448.004069994995,1.645432881669,0.221914703782831,3.98546042203095e-15,4.69177257460199e-13,"SNHG15","285958"
"253559",76.4724642723544,-3.71754297824375,0.577003143535838,4.2629897725607e-15,4.99326776927725e-13,"CADM2","253559"
"105371874",41.5960112176834,-2.44738269836063,0.340327923891588,4.83323583729657e-15,5.63289470657729e-13,"LOC105371874","105371874"
"2273",3130.22845680157,-2.49628025794752,0.361942918404166,5.3427781033738e-15,6.19576193092239e-13,"FHL1","2273"
"6372",154.026678959239,3.57582911818721,0.556401292566904,5.3816942395696e-15,6.20999559555088e-13,"CXCL6","6372"
"100313843",28.7307636532381,3.01181579151059,0.416792866625318,5.44925527555598e-15,6.25697986295243e-13,"MIR711","100313843"
"100128338",303.782745589721,2.18685182606081,0.307539412777809,5.54610177665226e-15,6.3369650152935e-13,NA,"100128338"
"2903",75.9362376072546,-2.31114145410569,0.323794837087414,5.78684280386863e-15,6.57978141050604e-13,"GRIN2A","2903"
"54575",447.217889321302,-2.57339040237902,0.370781045793472,6.03932352265798e-15,6.83352388299198e-13,"UGT1A10","54575"
"9928",472.968719544393,1.82133498695216,0.252587093865681,6.28695376904095e-15,7.07935291799882e-13,"KIF14","9928"
"5125",2412.31536577031,-1.85401525820859,0.255489961657007,6.60652313237195e-15,7.40343498521432e-13,"PCSK5","5125"
"64175",629.696062452013,1.15679255017924,0.154899257980008,6.98444244280852e-15,7.78949133490066e-13,"P3H1","64175"
"1846",630.857128635028,2.4477544022447,0.354979888368645,7.81098405343965e-15,8.66982034769642e-13,"DUSP4","1846"
"92482",645.42447326568,-1.05004968608248,0.139959658925227,8.29010801314948e-15,9.15801552978678e-13,"BBIP1","92482"
"64220",76.8007459406241,2.75106602948854,0.403556008648944,8.56977293186298e-15,9.42230364475445e-13,"STRA6","64220"
"5239",1658.04935732329,-3.20419270969343,0.509083994532149,9.09070060140954e-15,9.8555879217793e-13,"PGM5","5239"
"119385",417.784037493382,-1.83840726625099,0.256344570162252,9.06775514357896e-15,9.8555879217793e-13,"AGAP11","119385"
"340533",123.950371263671,-2.75665452470299,0.409058696954201,9.08579520454789e-15,9.8555879217793e-13,"NEXMIF","340533"
"105375987",63.1647632437798,-2.6451672147846,0.380554013318152,9.41594529257311e-15,1.01609383715086e-12,"LOC105375987","105375987"
"111",497.726719554128,-2.19462576153933,0.313305005320957,9.61926753791894e-15,1.03325118452236e-12,"ADCY5","111"
"10417",1081.69438651323,1.61407380158174,0.222847313313504,1.15539582843315e-14,1.23537253967653e-12,"SPON2","10417"
"128239",1774.36371620913,2.06118048936439,0.291464025729604,1.16793376433888e-14,1.24307616954224e-12,"IQGAP3","128239"
"85409",306.600657487431,2.37840904312679,0.343962660518663,1.25793541423492e-14,1.3327825713819e-12,"NKD2","85409"
"5959",189.613119772035,-1.40832460100113,0.192086295782556,1.34364333514005e-14,1.41714852935654e-12,"RDH5","5959"
"2980",2166.38801326078,-3.30822742245655,0.531451154400022,1.37694187920078e-14,1.44572694875185e-12,"GUCA2A","2980"
"9088",365.650985477355,1.9129107173285,0.2696086990687,1.40059845512736e-14,1.46171473939112e-12,"PKMYT1","9088"
"1830",370.106095134796,4.11314611378396,0.685612838399075,1.40471106278095e-14,1.46171473939112e-12,"DSG3","1830"
"23594",252.449259669703,1.6178777403594,0.223595564925323,1.59987120596538e-14,1.6573954639932e-12,"ORC6","23594"
"4496",392.497995811631,-3.00637311757078,0.465035602435891,1.62773546746802e-14,1.67880026598284e-12,"MT1H","4496"
