"","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid","symbol"
"266675",4227.20382455893,-6.64357953650671,0.342176542430506,3.69140100129589e-123,6.35843822473218e-119,"266675","BEST4"
"92736",1876.53813066124,-7.70668098254877,0.425361072806121,1.18824443865001e-114,1.02337552278732e-110,"92736","OTOP2"
"9076",254.170213243309,5.38572305573215,0.285033421058362,1.62730703939246e-103,8.51618149838978e-100,"9076","CLDN1"
"2118",468.267743717344,4.85158362086533,0.253379317132412,1.97763285884233e-103,8.51618149838978e-100,"2118","ETV4"
"766",2507.24798906788,-6.11593955628986,0.361857033986052,3.81020803071223e-97,1.31261666658036e-93,"766","CA7"
"27132",879.568511626387,5.43330842594039,0.318844219867598,1.13693759216e-91,3.26395833749266e-88,"27132","CPNE7"
"4316",269.53661320015,6.34822238709029,0.387608739494574,1.52565087974988e-87,3.75419091481309e-84,"4316","MMP7"
"94234",553.18838974581,5.32770014344372,0.332432637070188,8.52718967988236e-84,1.83601052794967e-80,"94234","FOXQ1"
"1001",304.241808361115,4.6265785460824,0.276672030625121,2.95842989460641e-83,5.66210610384394e-80,"1001","CDH3"
"9075",495.038068629712,6.39721039975621,0.422867034402057,1.20679688517044e-82,2.07870763470609e-79,"9075","CLDN2"
"144501",168.619317000391,4.92654558884391,0.312444673402546,8.23557114945785e-76,1.28961557317647e-72,"144501","KRT80"
"100507056",107.43506735937,5.3759151827815,0.347274853144159,2.676425048791e-73,3.84178512211874e-70,"100507056","CCAT1"
"6689",1007.29283904703,-5.32289218816157,0.38621819375108,1.94843411762331e-69,2.58167520585088e-66,"6689","SPIB"
"84172",247.025500739517,1.89520823809259,0.111977688070235,1.3909851372857e-68,1.71140849926759e-65,"84172","POLR1B"
"57214",492.272829297879,3.50419843479049,0.223697307286499,2.7812025603721e-68,3.19374760682729e-65,"57214","CEMIP"
"2981",3084.75344447519,-6.18923259215372,0.499680215094964,1.21488035529516e-67,1.30789463249745e-64,"2981","GUCA2B"
"107986554",66.4330424691189,5.11741801624868,0.34061171055634,1.75718922703572e-66,1.7804461432759e-63,"107986554",NA
"284346",269.146155620378,-2.62790248836253,0.164241553022944,5.05012699469017e-66,4.83269097130768e-63,"284346","ZNF575"
"7804",179.735075749957,2.91417027098831,0.183752370294224,3.65552263800899e-65,3.31401986524762e-62,"7804","LRP8"
"84962",143.557850238993,3.15802882329988,0.201559386136889,4.22072179069789e-65,3.63509664223856e-62,"84962","AJUBA"
"3624",125.123751300425,4.3491831351173,0.293134418941628,7.78577787254314e-65,6.38619161212169e-62,"3624","INHBA"
