"",gene_symbol,GSM2440320,GSM2440321,GSM2440322,GSM2440323,GSM2440324,GSM2440325,GSM2440326,GSM2440327,GSM2440328,GSM2440329,GSM2440330,GSM2440331
ENSG00000243775,OSTCP1,0,1.0032,3.9825,7.0176,1,0.9982,0.9987,2.0069,2.0022,0.9981,0.9943,0
ENSG00000243789,JMJD7,308.1587,202.1142,347.8759,460.2292,353.6691,224.0221,407.2657,870.0459,481.1636,734.639,417.9752,300.1444
ENSG00000243795,LOC101929717,1.0546,3.0156,3.0355,3.1068,6.0448,3.0258,2.0061,5.9839,1.0217,5.1293,2.117,0
ENSG00000243804,LY6G6F,0.8417,9.9252,1e-04,2.3655,47.7942,0,1.2071,0.1763,0,0,3.6011,0
ENSG00000243811,APOBEC3D,56.2799,73.2497,44.7959,74.1444,118.256,99.8784,47.9273,88.8706,201.7107,109.6523,607.3767,204.9141
ENSG00000243818,LOC100507389,0.9988,0,1.0104,1.9936,1.995,0,0,2.013,0.9986,2.0096,1.9992,1.0117
ENSG00000243832,LOC100507210,0,0,0,0,0,0,0,0,0,4.0409,0,0
ENSG00000243836,WDR86-AS1,6.9268,15.92,14.2088,9.9486,12.8528,56.9168,10.0331,6.0081,51.8668,4.0278,10.0166,0
ENSG00000243849,CFAP44-AS1,0,0,0,0,0,0,0,0,0.9973,0,0,0
ENSG00000243896,OR2A7,5.2152,21.0104,0,5.1687,72.3048,12.9614,15.2361,20.3699,3.1965,5.0493,0,5.0153
ENSG00000243897,EGFL8,11.6101,5.7397,12.9947,24.2402,35.862,32.6535,7.2399,16.5542,6.2575,12.3175,2.5155,1.8387
ENSG00000243902,ELFN2,1.011,0,0,1.0064,5.0227,0,0,0,0,0,0,0
ENSG00000243910,TUBA4B,1.0142,5.0568,0,5.0257,6.0118,0.9995,5.0132,1.0004,13.4511,1.0025,1.9895,1.9901
ENSG00000243927,MRPS6,421.802,455.1552,251.3905,408.5851,393.3198,792.9608,875.8068,336.599,959.5562,375.2255,65.564,114.3565
ENSG00000243943,ZNF512,41.604,177.8789,60.8394,19.1644,324.2097,315.0301,48.7639,60.8255,88.3248,35.6877,13.8395,5.917
ENSG00000243953,LOC105374171,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000243955,GSTA1,47.7735,35.9911,1.0122,1.9923,76.8483,1.99,15.0184,41.9898,0.9983,66.0561,66.9603,16.0385
ENSG00000243958,PSMB9,0,4.1862,0,157.2367,8.9605,0,902.1676,6.9497,12.8769,10.9477,0,0
ENSG00000243978,RGAG1,2.0338,0,0,0,2.0166,3.0344,0,0,0,0,0,0
