"","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid","symbol"
"266675",4227.20382455893,-6.64357953650671,0.342176542430506,3.67577209170742e-103,6.33151742796604e-99,"266675","BEST4"
"92736",1876.53813066124,-7.70668098254877,0.425361072806121,1.35513993176485e-98,1.16711426623248e-94,"92736","OTOP2"
"9076",254.170213243309,5.38572305573215,0.285033421058362,5.12248032599678e-83,2.94115745384315e-79,"9076","CLDN1"
"2118",468.267743717344,4.85158362086533,0.253379317132412,7.78148125854501e-81,3.35090036696094e-77,"2118","ETV4"
"766",2507.24798906788,-6.11593955628986,0.361857033986052,3.17768114508437e-80,1.09471115448157e-76,"766","CA7"
"27132",879.568511626387,5.43330842594039,0.318844219867598,8.76524347755777e-74,2.51635531501554e-70,"27132","CPNE7"
"4316",269.53661320015,6.34822238709029,0.387608739494574,6.09625600404455e-73,1.50011442385239e-69,"4316","MMP7"
"9075",495.038068629712,6.39721039975621,0.422867034402057,5.85327527265463e-69,1.26028333214345e-65,"9075","CLDN2"
"94234",553.18838974581,5.32770014344372,0.332432637070188,3.26346438577723e-67,6.24590822722365e-64,"94234","FOXQ1"
"1001",304.241808361115,4.6265785460824,0.276672030625121,2.08253012433465e-64,3.58715813916643e-61,"1001","CDH3"
"144501",168.619317000391,4.92654558884391,0.312444673402546,1.04828012771282e-59,1.64151138180485e-56,"144501","KRT80"
"100507056",107.43506735937,5.3759151827815,0.347274853144159,6.17442569223033e-59,8.86287354572229e-56,"100507056","CCAT1"
"2981",3084.75344447519,-6.18923259215372,0.499680215094964,3.06458363638836e-56,4.06057331821458e-53,"2981","GUCA2B"
"6689",1007.29283904703,-5.32289218816157,0.38621819375108,7.70949970206934e-56,9.48543802629603e-53,"6689","SPIB"
"107986554",66.4330424691189,5.11741801624868,0.34061171055634,8.34854255288293e-53,9.58690969822724e-50,"107986554",NA
"343",11549.8449968813,-5.52125063152433,0.462902514690771,1.75392469106619e-49,1.88820955022595e-46,"343","AQP8"
"3624",125.123751300425,4.3491831351173,0.293134418941628,1.90296604258554e-49,1.92815235785505e-46,"3624","INHBA"
"10446",560.759589828782,-4.30931187893779,0.309504342501476,4.5132755353611e-49,4.31895394981083e-46,"10446","LRRN2"
"2906",381.789458010728,4.13238712851734,0.281484914821598,1.44073361546228e-48,1.3061387645441e-45,"2906","GRIN2D"
"57214",492.272829297879,3.50419843479049,0.223697307286499,2.26023741380337e-48,1.94662947263815e-45,"57214","CEMIP"
"340706",220.675238055648,3.73527466754816,0.249577039605825,6.07142130712055e-47,4.98001104834055e-44,"340706","VWA2"
"54443",219.898452175922,3.65140897671793,0.249094502879453,1.80685589693909e-44,1.41468603748981e-41,"54443","ANLN"
"4499",678.375435190567,-4.52769226749004,0.365942527681931,2.29427966307016e-44,1.71821596506015e-41,"4499","MT1M"
"84962",143.557850238993,3.15802882329988,0.201559386136889,2.9510931613901e-44,2.11802415437269e-41,"84962","AJUBA"
"2980",10796.3273839108,-5.17818608661525,0.457858327021094,3.53423122706396e-44,2.43508531544707e-41,"2980","GUCA2A"
"29968",186.026504965187,3.26961017965347,0.214313970061722,6.91259684631893e-44,4.57959541068629e-41,"29968","PSAT1"
"8549",351.488290107991,3.92960995139454,0.283282887572855,2.89442223801468e-43,1.84653418702974e-40,"8549","LGR5"
"7804",179.735075749957,2.91417027098831,0.183752370294224,1.02095504888811e-42,6.28069668467774e-40,"7804","LRP8"
"759",9776.63969356992,-5.37830217020187,0.506471800339851,1.70329577404728e-42,1.01169895544705e-39,"759","CA1"
"1800",1441.53920190946,4.58618544537524,0.384145967599686,1.12352117728411e-41,6.45088409290627e-39,"1800","DPEP1"
"9319",132.952962759833,3.26378914383616,0.220055190560913,1.51885042096415e-41,8.439418871325e-39,"9319","TRIP13"
"284346",269.146155620378,-2.62790248836253,0.164241553022944,4.6363377344279e-41,2.49565367111002e-38,"284346","ZNF575"
"5348",150.850658343205,-3.66264367496464,0.267503571132881,3.58290403366603e-40,1.87016733272416e-37,"5348","FXYD1"
"9429",646.792848574224,-4.3474913872245,0.368180775638104,5.66413547059224e-40,2.86955098473386e-37,"9429","ABCG2"
"221416",233.907952405646,3.67835700667005,0.272003925282719,1.93464745612417e-39,9.52122926621109e-37,"221416","LINC03040"
"6799",826.633801108468,-4.09217838000188,0.333464824449628,2.42219886564081e-39,1.1589548739073e-36,"6799","SULT1A2"
"7447",81.4971200869099,3.47129482410959,0.24651532244681,3.07049871335343e-39,1.42944163074359e-36,"7447","VSNL1"
"22974",514.117925064591,3.47799617246077,0.254628746715823,7.99078341179681e-39,3.62213800705789e-36,"22974","TPX2"
"163175",411.108684354412,-3.08380426949579,0.22020320112223,5.21934467796347e-38,2.30521056610053e-35,"163175","LGI4"
"762",7494.21526898469,-4.38063344918974,0.395619122125552,7.09858912811629e-38,3.05682994329508e-35,"762","CA4"
"7516",59.3005343857638,3.22571340268445,0.228318534039711,3.11493675724885e-37,1.30865330838077e-34,"7516","XRCC2"
"388364",1478.20423850693,-5.28346971573702,0.536359424819042,3.90798508602615e-37,1.60273912159049e-34,"388364","TMIGD1"
"221150",89.9867616311934,3.53808855226345,0.26643238475241,7.42709009612209e-37,2.97515411408612e-34,"221150","SKA3"
"1271",185.260469263755,-4.80689454617247,0.453895434051834,8.96198418688169e-37,3.50841312770539e-34,"1271","CNTFR"
"430",1422.81290977518,3.80330863303106,0.301954253617748,9.65529987641319e-37,3.69583423047149e-34,"430","ASCL2"
"10606",730.754337257105,2.3818802302223,0.152695371394976,1.70513362992516e-36,6.38498408162193e-34,"10606","PAICS"
"4085",149.631216480482,2.94861118161336,0.207882097279643,2.42836868851678e-36,8.89971290631949e-34,"4085","MAD2L1"
"57460",175.604062114751,2.61712772881713,0.175346005086958,5.10971726201852e-36,1.83364332996394e-33,"57460","PPM1H"
"57670",120.13531697319,2.96161360411473,0.209663024845535,6.13155032265361e-36,2.11231908615417e-33,"57670","KIAA1549"
"254439",747.51906920861,-4.45064248556955,0.401860227703006,6.13095536144363e-36,2.11231908615417e-33,"254439","C11orf86"
"4314",351.076790304389,4.53595142467794,0.413012050311565,7.5602376261663e-36,2.5534331982493e-33,"4314","MMP3"
"83879",700.099828072392,3.10704585965854,0.229218628404426,8.06029809580185e-36,2.66997374423436e-33,"83879","CDCA7"
"983",184.162549635837,3.14083543387545,0.231989953901404,1.45868447911378e-35,4.74072455711978e-33,"983","CDK1"
"1164",165.031227848769,2.85008989157518,0.20063677394993,1.67074578777077e-35,5.32936966562065e-33,"1164","CKS2"
"25902",299.586359349646,2.28222303752637,0.145191112705021,1.93711506271829e-35,6.066692173695e-33,"25902","MTHFD1L"
"5471",93.9677818776814,2.56667556142673,0.171905084221688,2.48565764561022e-35,7.64561659743499e-33,"5471","PPAT"
"3570",483.915716984319,-2.75016317999338,0.193068935496824,3.70572967153119e-35,1.11984550161622e-32,"3570","IL6R"
"290",6661.15475958148,-3.58905303172435,0.295523416037339,6.33007696008293e-35,1.8799237178867e-32,"290","ANPEP"
"5983",140.078892196087,2.75686878952197,0.193175163610108,6.49633894539578e-35,1.89660064973631e-32,"5983","RFC3"
"111",344.088755810938,-3.61102785994846,0.294217753397339,6.61962724530184e-35,1.9003846550054e-32,"111","ADCY5"
"57126",9582.97243763687,-4.62165631052214,0.463874001279049,1.07891856693681e-34,3.04661841237484e-32,"57126","CD177"
"760",8217.81862453015,-4.09765714783539,0.369539810302144,1.98015653719854e-34,5.50132199245885e-32,"760","CA2"
"57863",116.278762303789,-3.96197782708343,0.331606118483988,2.07280970494882e-34,5.66732494726085e-32,"57863","CADM3"
"54517",146.969393436401,2.86095527705102,0.207035635200815,3.32521192980456e-34,8.94949617045057e-32,"54517","PUS7"
"84172",247.025500739517,1.89520823809259,0.111977688070235,3.74283105016906e-34,9.91850228294801e-32,"84172","POLR1B"
"55532",1353.05818205388,-4.62846754072435,0.459270358668052,3.89458135805145e-34,1.01642672564297e-31,"55532","SLC30A10"
"248",433.254319741661,-4.0131398026953,0.353588573200617,5.91244732126756e-34,1.5200284344602e-31,"248","ALPI"
"6558",1606.68782125375,2.46636059119441,0.168654320784112,7.43967295615179e-34,1.88453480396639e-31,"6558","SLC12A2"
"1063",355.553190866427,3.22282447040503,0.251509936709447,7.65486847562442e-34,1.91094361583523e-31,"1063","CENPF"
"8140",894.321548008931,2.6935895628525,0.192089969599329,8.68730765598321e-34,2.1376982053473e-31,"8140","SLC7A5"
"102724153",159.82054276891,-3.53389864321899,0.289983961058693,1.3286155159334e-33,3.22329609323279e-31,"102724153","FLVCR2-AS1"
"5820",174.266111469071,2.68161024394399,0.190342321974163,1.58784366680505e-33,3.79869543898847e-31,"5820","PVT1"
"10004",601.20061590801,-3.22468485604424,0.254313956133839,1.74429106471938e-33,4.11581008079334e-31,"10004","NAALADL1"
"1610",59.5921964090655,-5.40684957762493,0.529139756742142,1.95965878647373e-33,4.56150305365e-31,"1610","DAO"
"7153",575.897912500737,3.14200559481261,0.242519110087891,2.66115900405345e-33,6.11179517930943e-31,"7153","TOP2A"
"24137",154.287472585954,3.12962284120907,0.240102860899495,4.57290010229272e-33,1.03642374028937e-30,"24137","KIF4A"
"55646",160.680400244571,2.18670812111973,0.141962613225968,4.87403296762524e-33,1.09032750477071e-30,"55646","LYAR"
"57464",68.2481896475648,2.9200430598186,0.214424126554137,5.69801845457908e-33,1.25831240871955e-30,"57464","STRIP2"
"65018",1308.25287033312,-1.96626327375158,0.122025037856318,9.08211365993801e-33,1.98024566825864e-30,"65018","PINK1"
"2852",200.270990712485,-3.02144572093567,0.236746631815842,2.11105041504146e-32,4.54535542488615e-30,"2852","GPER1"
"197257",1087.65222444491,-3.20868233254781,0.261899274437584,2.16491912185647e-32,4.60379405851577e-30,"197257","LDHD"
"5333",1458.59733515674,-2.87320832838587,0.220502758976074,2.23205112918544e-32,4.68866837807552e-30,"5333","PLCD1"
"1736",733.658744434518,2.19769706412494,0.145736807362182,3.06691655070442e-32,6.36477561275707e-30,"1736","DKC1"
"7123",644.133284689889,-3.4420102203606,0.284883998011844,3.52794245805671e-32,7.2343820047651e-30,"7123","CLEC3B"
"55165",135.869750106671,3.13189740894482,0.245564508965402,4.75612978021794e-32,9.63815711344165e-30,"55165","CEP55"
"340024",1803.41265951725,-4.71995927591573,0.513518897784375,5.07111183420121e-32,1.00402185453007e-29,"340024","SLC6A19"
"6338",2740.61447011418,-4.38696717246409,0.448379653654601,5.02583524171085e-32,1.00402185453007e-29,"6338","SCNN1B"
"646962",528.024907682875,-2.91109017090143,0.225621540615455,5.44370106186104e-32,1.06554262261996e-29,"646962","HRCT1"
"51602",538.880490938204,2.04699571713311,0.131467560806205,5.78018734614856e-32,1.11869356221808e-29,"51602","NOP58"
"101929705",34.317018569499,3.27416339828089,0.250024964722447,6.4579357223279e-32,1.2268649550692e-29,"101929705","SCIRT"
"6581",169.708827964401,3.69825403647657,0.327851992409254,6.48155070602597e-32,1.2268649550692e-29,"6581","SLC22A3"
"101101775",71.5915237185463,-2.70630308874755,0.199122163970843,6.90287049472926e-32,1.29241243773599e-29,"101101775","TMEM220-AS1"
"5152",2514.28532300539,-3.10354692553375,0.249013369233849,7.24979553287007e-32,1.34277126939448e-29,"5152","PDE9A"
"2491",67.5868827834785,2.9036083886637,0.218583059207714,9.12522787453341e-32,1.67214946956211e-29,"2491","CENPI"
"27346",246.358319918664,2.07384869243849,0.134536260980393,1.25151508861856e-31,2.26919446331103e-29,"27346","TMEM97"
"891",305.838970582192,2.99346347499084,0.233702423641271,1.28554350751407e-31,2.30661322051353e-29,"891","CCNB1"
"80726",147.56532277973,-2.65630204177814,0.196111138052882,1.75151562768689e-31,3.11029450380481e-29,"80726","IQCN"
"6712",335.842889113936,3.0289393454748,0.240341888672623,2.05050607374802e-31,3.60407827758261e-29,"6712","SPTBN2"
"8633",79.7678338463568,-2.57244652590314,0.186562717634012,2.76739593579973e-31,4.81498939334851e-29,"8633","UNC5C"
"643236",264.033903275335,-4.09825480396109,0.397236146974469,2.95074685073303e-31,5.08266145038764e-29,"643236","TMEM72"
"11065",473.454651551186,3.14229480875863,0.255467294861844,3.13880187864107e-31,5.35305567916757e-29,"11065","UBE2C"
"259266",132.567129012282,3.25601479031479,0.265917261152131,4.10867084888473e-31,6.9384171933372e-29,"259266","ASPM"
"651",370.58282996048,-4.86617391121194,0.535616019349914,4.29185286366493e-31,7.17739471617752e-29,"651","BMP3"
"3329",2511.89741220999,2.16096314442551,0.145625372532782,4.52990627557322e-31,7.50265726891815e-29,"3329","HSPD1"
"105376567",293.795611951606,-4.23020857104779,0.416359121701847,4.58865054834064e-31,7.52757197096834e-29,"105376567","LOC105376567"
"128239",649.786766599027,3.06958509612697,0.248109928407844,5.02771311441751e-31,8.17003381092845e-29,"128239","IQGAP3"
"79148",1303.92663658524,-3.28362296254101,0.281151827153063,5.65823173091198e-31,9.10869547336065e-29,"79148","MMP28"
"79989",33.8032671306643,2.5833962657036,0.18473759161746,5.76087131592759e-31,9.18805633489377e-29,"79989","IFT56"
"79762",1114.21852579094,-2.64846764659715,0.199430545578711,6.21098856529949e-31,9.79336102434322e-29,"79762","C1orf115"
"3651",108.265314327878,3.73476916335675,0.333697823455491,6.25410573397825e-31,9.79336102434322e-29,"3651","PDX1"
"9787",81.7773588385905,2.94174117350666,0.226938517286571,6.87444375258933e-31,1.06677742016533e-28,"9787","DLGAP5"
"1894",318.326477437633,2.44770922095114,0.175992685678816,7.75607437048431e-31,1.19284268778207e-28,"1894","ECT2"
"29028",263.837863743049,2.559708368186,0.188717478491272,1.06003848046981e-30,1.61585511735332e-28,"29028","ATAD2"
"10351",166.699893880956,-3.78183462419895,0.34747341328118,1.20217343213655e-30,1.8164418744344e-28,"10351","ABCA8"
"9928",63.6175259868601,3.10316025246132,0.247997478228917,1.59292030121741e-30,2.38591758160608e-28,"9928","KIF14"
"100128338",195.772572073726,2.68093544739863,0.20239219807458,1.63830363149417e-30,2.43273965969716e-28,"100128338",NA
"5697",468.956285772051,-4.82441214348824,0.529693489362995,1.80094984159561e-30,2.65139837790464e-28,"5697","PYY"
"4751",90.7745068323742,2.96040573910154,0.232958155791238,2.03741827591573e-30,2.9741126951397e-28,"4751","NEK2"
"388595",277.380342088229,-3.60502351273847,0.321941341604297,2.05483574206058e-30,2.97433156781458e-28,"388595","TMEM82"
"53345",247.215973784702,-3.17483080333278,0.262325239208728,2.13883830377272e-30,3.07012414854043e-28,"53345","TM6SF2"
"1434",713.107666470162,2.27361089423777,0.159465102872502,2.24800476837213e-30,3.20015554836446e-28,"1434","CSE1L"
"8208",80.8998729757826,2.12726977450855,0.142001818075591,2.73199603320463e-30,3.85726489114342e-28,"8208","CHAF1B"
"29089",108.625668998757,2.71234634121428,0.205850677181813,2.97674989833917e-30,4.16865991860912e-28,"29089","UBE2T"
"57167",57.3517691144093,3.41284507176004,0.280700673010847,3.54484836095944e-30,4.92419459818761e-28,"57167","SALL4"
"8614",130.275889866512,4.03547551338695,0.38841500102946,3.99132158401065e-30,5.50004114276667e-28,"8614","STC2"
"6422",242.692874835616,-4.29495127705116,0.437053454872628,4.8048866870624e-30,6.56858517338491e-28,"6422","SFRP1"
"646627",4813.59452575299,-4.01909961264619,0.404573927279333,5.31296688238779e-30,7.20597279914407e-28,"646627","LYPD8"
"364",606.345264003529,-3.03726043673107,0.250141034312873,5.69042923115556e-30,7.65762839895739e-28,"364","AQP7"
"284992",33.8517679398568,2.8963085495959,0.222735466491366,6.13535229909907e-30,8.19076837993335e-28,"284992","CCDC150"
"1033",85.2909335651237,2.92729309689906,0.230761473700055,6.18171198485536e-30,8.19076837993335e-28,"1033","CDKN3"
"57761",431.891340489792,2.80191710373749,0.220639632625733,7.78407147269541e-30,1.02351626807006e-27,"57761","TRIB3"
"106635540",191.791541675836,2.30158597026308,0.163565775247559,8.03168561728486e-30,1.04807412695251e-27,"106635540","SNORA105B"
"6997",57.5012257292859,3.26963122956861,0.266867453167267,9.03393911570206e-30,1.16126568110424e-27,"6997","CRIPTO"
"29127",258.860254040124,2.20697672001735,0.153620220235128,8.97360868654771e-30,1.16126568110424e-27,"29127","RACGAP1"
"9837",129.362634045336,3.00524413249999,0.242961981766157,9.60959938783456e-30,1.22611369967e-27,"9837","GINS1"
"2921",404.312447179926,3.20250071023964,0.272364205598382,9.86966714447017e-30,1.25003688649631e-27,"2921","CXCL3"
"768",289.870417501532,4.26866617470577,0.423615527967911,1.01751899740057e-29,1.27932589271715e-27,"768","CA9"
"145270",71.6005104438304,-4.41535298007963,0.434915424753474,1.34923387350444e-29,1.68409807761696e-27,"145270","PRIMA1"
"84733",95.8185010110631,3.57557772709432,0.31198489046022,1.64604187024821e-29,2.039789296045e-27,"84733","CBX2"
"79085",2534.81985514486,-2.0588000402122,0.139524885283737,1.81174154338225e-29,2.22908914891138e-27,"79085","SLC25A23"
"9824",125.104996681417,2.65388601541014,0.203182458364903,1.88037954131417e-29,2.2971303261799e-27,"9824","ARHGAP11A"
"1805",488.399068254592,-3.67498855182755,0.33423513566625,1.89714824329954e-29,2.30129425991793e-27,"1805","DPT"
"90381",103.625401555929,2.76872433464574,0.216041872738761,2.2283079992402e-29,2.68409827181206e-27,"90381","TICRR"
"144455",40.1393092541718,3.31612473606424,0.273950126526058,2.34963795833039e-29,2.81059123835007e-27,"144455","E2F7"
"8839",118.459679870106,-4.27357896528425,0.419098606494525,2.51023052349105e-29,2.98198074256092e-27,"8839","CCN5"
"79075",55.8963980781194,2.92764279074028,0.232316999244647,3.32943977168693e-29,3.92805479913064e-27,"79075","DSCC1"
"388335",192.331418941049,-2.52039644796319,0.191386951542518,3.65808800904896e-29,4.28643305822234e-27,"388335","TMEM220"
"79861",359.222189427357,-3.51076673466745,0.316451911159947,3.82986899595739e-29,4.45739820644365e-27,"79861","TUBAL3"
"125",1234.5801697777,-3.95352869594162,0.396431637754272,4.23744000150496e-29,4.89865127690758e-27,"125","ADH1B"
"1030",1945.49456910864,-3.17724521670226,0.281054202498107,4.68943148798637e-29,5.38503049203768e-27,"1030","CDKN2B"
"64220",52.8680776439761,3.62027029420126,0.310649033225192,5.42873389592989e-29,6.19271134817167e-27,"64220","STRA6"
"1111",127.946448838659,2.30619411396842,0.165971774258519,5.63090082004629e-29,6.38107017271694e-27,"1111","CHEK1"
"221476",341.277799252488,-4.42027051493903,0.454453647687849,6.13013431626995e-29,6.90140938547385e-27,"221476","PI16"
"92092",133.222128471693,2.31472653212024,0.167145317423321,6.89553746513328e-29,7.71270343096888e-27,"92092","ZC3HAV1L"
"145741",113.564851928382,3.35009324332597,0.294250036295875,6.98964390943129e-29,7.76752363483574e-27,"145741","C2CD4A"
"150468",53.7789237165594,2.91356392722523,0.231252780115782,7.27242455908339e-29,8.02996878398791e-27,"150468","CKAP2L"
"11346",1712.63530446534,-2.13868644278207,0.150040421660699,7.83822934599123e-29,8.59958601813369e-27,"11346","SYNPO"
