"","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid","symbol"
"266675",1310.31867325474,-5.58028458812705,0.573823620743434,2.32867736461207e-27,2.3063220619118e-23,"266675","BEST4"
"92736",576.189497027225,-6.82629760160664,0.804506658724947,1.75536188331108e-27,2.3063220619118e-23,"92736","OTOP2"
"144501",467.641276546014,5.70503178949355,0.62747606275127,2.7410126051151e-22,1.357349442053e-18,"144501","KRT80"
"766",1159.97932460823,-5.01278182463822,0.565895726904221,2.13443538881568e-22,1.357349442053e-18,"766","CA7"
"3624",594.946901866232,4.94480642498354,0.545428666768419,8.47374807630534e-22,3.1746409763439e-18,"3624","INHBA"
"7472",88.0761686660352,6.23522437160605,0.758134650080383,9.61623882172022e-22,3.1746409763439e-18,"7472","WNT2"
"2118",1075.4202029099,4.04951144297178,0.434540809706899,1.12464238011643e-19,3.18241660933519e-16,"2118","ETV4"
"11082",126.516517731392,4.96160961331604,0.607906301173826,1.80332036020382e-18,4.46502121186467e-15,"11082","ESM1"
"6689",981.443531658338,-4.2343895448222,0.512025068571542,2.84224835075872e-18,6.25547281464763e-15,"6689","SPIB"
"4312",598.500338917367,4.59201694588735,0.591151475749489,4.25639999167133e-18,8.43107710350257e-15,"4312","MMP1"
"100288077",154.913839117008,4.29248275212681,0.529753956098573,9.95931930657445e-18,1.79340178931479e-14,"100288077","WTAPP1"
"1301",475.476570747598,4.70856477749792,0.580357371453832,1.81120562739273e-17,2.98969675561626e-14,"1301","COL11A1"
"1469",373.102663993549,5.70938149258747,0.788984343225974,6.59273219825211e-17,1.00452953371521e-13,"1469","CST1"
"8038",294.150153420089,3.62435008998599,0.423109920284559,2.37682603325724e-16,3.13867800445063e-13,"8038","ADAM12"
"1001",947.19321296762,4.37855764790306,0.563820160095419,2.30923800591477e-16,3.13867800445063e-13,"1001","CDH3"
"1311",276.23618293095,6.08979211216925,0.886754010699905,5.39495822770121e-16,6.67895828589409e-13,"1311","COMP"
"9076",1576.72946408256,3.66641068729995,0.448214425222173,6.74978051137328e-16,7.86468543348717e-13,"9076","CLDN1"
"1300",272.61099111469,5.17873068797561,0.702325640041817,1.26856360279854e-15,1.32251093917018e-12,"1300","COL10A1"
"4314",275.994824546674,4.70834171761504,0.718528991143041,1.24016839426139e-15,1.32251093917018e-12,"4314","MMP3"
"343",4774.02444898043,-4.8502080636252,0.814945012646273,3.16628416104072e-15,3.13588783309472e-12,"343","AQP8"
"100190940",127.931889457998,4.95059303210397,0.765600277177744,2.78157004133189e-14,2.62368282755724e-11,"100190940","LINC02418"
"115908",459.302578371585,3.53592173096573,0.448502726881516,3.84345001395541e-14,3.46050263074676e-11,"115908","CTHRC1"
"4316",908.339586925959,4.70658063614755,0.705935167853978,4.96198679155692e-14,4.27334932031128e-11,"4316","MMP7"
"347741",27.4431202475725,-7.39128577466956,1.23980781987469,5.51700938258099e-14,4.55337174375685e-11,"347741","OTOP3"
"2191",224.95585644043,3.57685021942616,0.47487653917292,7.91847001418761e-14,6.27396216164113e-11,"2191","FAP"
"57167",68.573635803986,3.15561645386621,0.382463902707126,8.26338260550435e-14,6.2954262557627e-11,"57167","SALL4"
"94234",652.478790938359,4.08444424074969,0.577431782867124,2.58907533424877e-13,1.89942237854814e-10,"94234","FOXQ1"
"8614",422.988900106743,3.55036205632641,0.483125329891605,4.33454897219578e-13,2.9739660232401e-10,"8614","STC2"
"2906",337.230000683266,3.6295748312253,0.520659695007152,4.3540496099537e-13,2.9739660232401e-10,"2906","GRIN2D"
"221416",817.590443712129,4.14445550567316,0.624995352732499,8.79725554339425e-13,5.62116250979204e-10,"221416","LINC03040"
"27132",449.202582371858,4.02286314539733,0.638273819050383,8.55672971949274e-13,5.62116250979204e-10,"27132","CPNE7"
"27123",60.1365052816589,4.59839289346619,0.739565327339115,1.13714332566635e-12,7.03891718587474e-10,"27123","DKK2"
"2981",758.156056811365,-4.44640666192658,0.966594912533213,1.23222639277134e-12,7.39634557212566e-10,"2981","GUCA2B"
"3576",1434.06791403168,3.6193075211117,0.559153466442699,1.96680944187193e-12,1.14584004189998e-09,"3576","CXCL8"
"57214",1574.00626335571,3.39927881418967,0.476483098671057,2.10610291129587e-12,1.19193389905567e-09,"57214","CEMIP"
"1800",4887.69352406762,4.50039255187156,0.841684648363082,2.58497927984394e-12,1.42231304375413e-09,"1800","DPEP1"
"105378828",701.370703106701,-3.7956953906223,0.644875873063959,3.19903547215075e-12,1.71260796303681e-09,"105378828","CLCA4-AS1"
"81792",364.801672853129,3.02044396045101,0.413898568129436,3.43608858106322e-12,1.79110638457106e-09,"81792","ADAMTS12"
"100507056",179.213670927155,3.52176240674056,0.500757744444657,3.59303936220171e-12,1.82489547914081e-09,"100507056","CCAT1"
"253152",56.6088193250088,3.61445167361264,0.522860231115673,4.07362947566196e-12,2.0172613163478e-09,"253152","EPHX4"
"107986554",207.070452270768,3.94583665721235,0.596852147003283,4.59727700670628e-12,2.22104543777654e-09,"107986554",NA
"3651",298.036812142275,3.55539139260996,0.54063167957229,5.36795601909644e-12,2.5316303053872e-09,"3651","PDX1"
"51330",953.883047472626,2.37215001923814,0.288557535828743,5.56042480459446e-12,2.56141615184668e-09,"51330","TNFRSF12A"
"22802",8338.79192430007,-4.23224576653071,0.815999508114884,9.67936872240179e-12,4.35747581030306e-09,"22802","CLCA4"
"23601",60.6083342008262,3.7337133745241,0.563483399350052,2.18203691112453e-11,9.39604068164233e-09,"23601","CLEC5A"
"147111",441.518687518504,4.35389581134922,0.810247966066266,2.15583626802216e-11,9.39604068164233e-09,"147111","NOTUM"
"101669762",54.1034497953474,3.95190786110706,0.592975605955548,2.67462753916486e-11,1.12721324033569e-08,"101669762","BLACAT1"
"4653",55.0375907818771,-5.07555623162203,0.974602174466958,3.20073098521362e-11,1.32083498656482e-08,"4653","MYOC"
"9429",414.294479255338,-3.00762233622954,0.453394287669307,4.02430841298681e-11,1.59427002088885e-08,"9429","ABCG2"
"759",9305.48400581749,-4.13131942767581,0.93962919923597,3.99550681588917e-11,1.59427002088885e-08,"759","CA1"
