"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","8/157","55/7467",0.145454545454545,6.91789229878402,6.45529103375797,1.6816464918763e-05,0.00251300406572938,0.00235988588832416,"MT1M/MT1H/MT1G/MT1F/TRPM6/MT1E/MT1X/SLC6A19",8
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","17/157","253/7467",0.0671936758893281,3.19576546411218,5.20706827477876,2.08548055247252e-05,0.00251300406572938,0.00235988588832416,"THRB/PYY/SST/VIPR1/GCG/PTH1R/PTGDR/P2RY1/EDN3/ADORA3/P2RX1/ADRB2/EDN2/UCN3/CTSG/NMUR1/INSL5",17
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","4/157","15/7467",0.266666666666667,12.6828025477707,6.6372988664758,0.000214293435607597,0.0172149059938103,0.0161659960195205,"CA7/CA1/CA4/CA12",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","11/157","160/7467",0.06875,3.26978503184713,4.25314604572808,0.000524091436605573,0.0315765090554858,0.0296525418079469,"THRB/SST/ADCY5/GUCA2A/VIPR1/GCG/PTH1R/GNG7/GUCA2B/ADRB2/UCN3",11
