"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"MF","GO:0003678","DNA helicase activity","8/564","59/18662",0.135593220338983,4.48659694674841,4.73508712945295,0.000378001845365492,0.0192276938675914,0.0176400861170563,"TWNK/RUVBL1/MCM2/DSCC1/MCM6/MCM3/MCM4/RFC3",8
"MF","GO:0004222","metalloendopeptidase activity","11/564","109/18662",0.100917431192661,3.33922181013729,4.32383684201189,0.000460683860789651,0.0219688616114065,0.0201549189095472,"MMP7/MMP3/MMP11/ADAMTS12/MMP1/ADAMTS2/ADAM12/MMP12/ADAMTS6/ADAMTS4/ADAMTS9",11
"MF","GO:0016879","ligase activity, forming carbon-nitrogen bonds","7/564","48/18662",0.145833333333333,4.82542848699764,4.68460058189093,0.000557252832608973,0.0238730221526706,0.0219018551859364,"CAD/MTHFD1L/CTPS1/GART/TTLL4/PAICS/GMPS",7
"MF","GO:0044183","protein folding chaperone","9/564","78/18662",0.115384615384615,3.81792144026187,4.40248921628707,0.000563190561924078,0.0238730221526706,0.0219018551859364,"CCT6A/HSP90AB1/CCT3/HSPD1/HSPH1/PFDN2/CCT5/CCT2/CCT8",9
"MF","GO:0001217","DNA-binding transcription repressor activity","20/564","298/18662",0.0671140939597315,2.22071493169594,3.74999305441201,0.00077831550179385,0.031059043294516,0.0284945351325835,"FOXQ1/GTF2IRD1/TWIST1/SP5/MSX1/CEBPB/SNAI1/NFE2L3/MYC/ASCL2/BHLHE40/FOXK1/TCFL5/PRRX1/LEF1/ZNF239/HEYL/PROX1/ZBTB12/HOXB8",20
"MF","GO:0050840","extracellular matrix binding","8/564","66/18662",0.121212121212121,4.01074575542661,4.32541715397877,0.000814129575216672,0.031059043294516,0.0284945351325835,"BGN/TGFBI/SPARC/OLFML2B/SPP1/SHH/ADGRG1/ITGA2",8
"MF","GO:0008236","serine-type peptidase activity","15/564","196/18662",0.076530612244898,2.53229483282675,3.80693685776249,0.000936735929728922,0.0340347387801508,0.0312245309909641,"MMP7/MMP3/MMP11/MMP1/FAP/PLAU/PRSS22/MMP12/PCSK9/KLK10/TMPRSS3/HTRA3/CFB/CTSV/CTSH",15
"MF","GO:0003688","DNA replication origin binding","4/564","16/18662",0.25,8.27216312056738,5.13715275462065,0.00112436667186982,0.0389138483341214,0.0357007782881848,"MCM2/CDC6/MCM10/HSPD1",4
"MF","GO:0120545","nucleic acid conformation isomerase activity","13/564","161/18662",0.0807453416149068,2.67175454825779,3.76079418242219,0.00123677547527571,0.0389138483341214,0.0357007782881848,"TWNK/DDX31/RUVBL1/MCM2/DSCC1/DDX21/TOP2A/MCM6/MCM3/MCM4/DDX10/DDX27/RFC3",13
"MF","GO:0017171","serine hydrolase activity","15/564","202/18662",0.0742574257425743,2.45707815462397,3.67565210989245,0.00126992105966862,0.0389138483341214,0.0357007782881848,"MMP7/MMP3/MMP11/MMP1/FAP/PLAU/PRSS22/MMP12/PCSK9/KLK10/TMPRSS3/HTRA3/CFB/CTSV/CTSH",15
"MF","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","19/564","288/18662",0.0659722222222222,2.18293193459417,3.57146057682882,0.0012750277960066,0.0389138483341214,0.0357007782881848,"FOXQ1/GTF2IRD1/SP5/MSX1/CEBPB/SNAI1/NFE2L3/MYC/ASCL2/BHLHE40/FOXK1/TCFL5/PRRX1/LEF1/ZNF239/HEYL/PROX1/ZBTB12/HOXB8",19
"MF","GO:0008237","metallopeptidase activity","14/564","185/18662",0.0756756756756757,2.50400613379337,3.62920465063357,0.00152299837768044,0.0435964137529528,0.0399967098650943,"MMP7/MMP3/MMP11/ADAMTS12/MMP1/ADAMTS2/ADAM12/MMP12/MATCAP2/DPEP1/ADAMTS6/PSMD14/ADAMTS4/ADAMTS9",14
"MF","GO:0030020","extracellular matrix structural constituent conferring tensile strength","6/564","42/18662",0.142857142857143,4.72695035460993,4.26854762288289,0.00154273023765364,0.0435964137529528,0.0399967098650943,"COL1A1/COL12A1/COL7A1/COL8A1/COL4A1/COL5A2",6
"MF","GO:0004386","helicase activity","12/564","148/18662",0.0810810810810811,2.68286371477861,3.62845207243843,0.00181440271726289,0.0494424740454137,0.0453600679315722,"TWNK/DDX31/RUVBL1/MCM2/DSCC1/DDX21/MCM6/MCM3/MCM4/DDX10/DDX27/RFC3",12
