"ENTREZID","SYMBOL"
"55616","ASAP3"
"3960","LGALS4"
"7782","SLC30A4"
"5051","PAFAH2"
"55225","RAVER2"
"2185","PTK2B"
"79789","CLMN"
"4145","MATK"
"489","ATP2A3"
"389643","NUGGC"
"57715","SEMA4G"
"10418","SPON1"
"134285","TMEM171"
"284346","ZNF575"
"51195","RAPGEFL1"
"3268","AGFG2"
"100130111","LCIIAR"
"58472","SQOR"
"10316","NMUR1"
"9721","GPRIN2"
"54852","PAQR5"
"8792","TNFRSF11A"
"6549","SLC9A2"
"9764","KIAA0513"
"58476","TP53INP2"
"55020","TTC38"
"5236","PGM1"
"2263","FGFR2"
"81693","AMN"
"5174","PDZK1"
"1368","CPM"
"1179","CLCA1"
"80235","PIGZ"
"55793","MINDY1"
"284194","LGALS9B"
"401024","FSIP2"
"90529","STPG1"
"290","ANPEP"
"8714","ABCC3"
"90273","CEACAM21"
"387695","GPR15LG"
"9834","FAM30A"
"5794","PTPRH"
"64344","HIF3A"
"9413","ENTREP1"
"6330","SCN4B"
"122416","ANKRD9"
"4151","MB"
"10022","INSL5"
"727910","TLCD2"
"3706","ITPKA"
"112476","PRRT2"
"38","ACAT1"
"2995","GYPC"
"5920","PLAAT4"
"126259","TMIGD2"
"57458","TMCC3"
"3800","KIF5C"
"10223","GPA33"
"340024","SLC6A19"
"7122","CLDN5"
"6359","CCL15"
"64081","PBLD"
"5187","PER1"
"115","ADCY9"
"23303","KIF13B"
"1404","HAPLN1"
"55450","CAMK2N1"
"284656","EPHA10"
"773","CACNA1A"
"326624","RAB37"
"11261","CHP1"
"4063","LY9"
"100129792","CCDC152"
"150365","MEI1"
"5801","PTPRR"
"3820","KLRB1"
"547","KIF1A"
"726","CAPN5"
"4601","MXI1"
"148808","SLC60A1"
"220963","SLC16A9"
"22802","CLCA4"
"152007","GLIPR2"
"377841","ENTPD8"
"6414","SELENOP"
"8174","MADCAM1"
"8538","BARX2"
"3603","IL16"
"2948","GSTM4"
"27111","SDCBP2"
"94030","LRRC4B"
"79085","SLC25A23"
"54866","PPP1R14D"
"771","CA12"
"9540","TP53I3"
"7358","UGDH"
"440498","HSBP1L1"
"8991","SELENBP1"
"6948","TCN2"
"646625","URAD"
"55359","STYK1"
"100130933","ERLN"
"148534","TLCD4"
"3818","KLKB1"
"91464","ISX"
"392465","GLOD5"
"400916","CHCHD10"
"64072","CDH23"
"6609","SMPD1"
"5167","ENPP1"
"58480","RHOU"
"81563","C1orf21"
"285972","LINC00996"
"440556","PRDM16-DT"
"8399","PLA2G10"
"23474","ETHE1"
"51466","EVL"
"5579","PRKCB"
"8780","RIOK3"
"84239","ATP13A4"
"6583","SLC22A4"
"2852","GPER1"
"100423062","IGLL5"
"192134","B3GNT6"
"27181","SIGLEC8"
"149466","C1orf210"
"3001","GZMA"
"51301","GCNT4"
"257407","C2orf72"
"4056","LTC4S"
"7294","TXK"
"115650","TNFRSF13C"
"1159","CKMT1B"
"28","ABO"
"57828","CATSPERG"
"27134","TJP3"
"148252","DIRAS1"
"124975","GGT6"
"10882","C1QL1"
"5408","PNLIPRP2"
"79153","GDPD3"
"4502","MT2A"
"55620","STAP2"
"3004","GZMM"
"4046","LSP1"
"54492","NEURL1B"
"219972","MPEG1"
"27124","INPP5J"
"84824","FCRLA"
"120425","JAML"
"863","CBFA2T3"
"284716","RIMKLA"
"6775","STAT4"
"5349","FXYD3"
"916","CD3E"
"53345","TM6SF2"
"3081","HGD"
"100507588","TGFBR3L"
"6035","RNASE1"
"22806","IKZF3"
"2206","MS4A2"
"170575","GIMAP1"
"10666","CD226"
"7498","XDH"
"26355","FAM162A"
"9588","PRDX6"
"10103","TSPAN1"
"26051","PPP1R16B"
"374569","ASPG"
"23148","NACAD"
"2208","FCER2"
"926","CD8B"
"8328","GFI1B"
"51237","MZB1"
"3683","ITGAL"
"10235","RASGRP2"
"148170","CDC42EP5"
"640","BLK"
"5368","PNOC"
"91319","DERL3"
"129807","NEU4"
"80008","TMEM156"
"914","CD2"
"161247","FITM1"
"10004","NAALADL1"
"11184","MAP4K1"
"2826","CCR10"
