"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"CC","GO:0031528","microvillus membrane","6/239","33/19944",0.181818181818182,15.1723088626854,8.97339980155881,2.34940197477389e-06,0.000249036609326033,0.000222574923925948,"PDPN/SLC7A11/SLC7A5/SLC6A6/DPEP1/CA9",6
"CC","GO:0045178","basal part of cell","15/239","319/19944",0.0470219435736677,3.92387298172899,5.79768995176525,7.63910315674775e-06,0.000598497285785774,0.00053490323456524,"SLCO4A1/CLDN1/FAP/PDPN/SLC22A3/NKD2/SLC7A5/SLC6A6/AQP9/AURKA/SLC4A11/TACSTD2/CA9/SLC5A6/MET",15
"CC","GO:0005819","spindle","18/239","452/19944",0.0398230088495575,3.32313844558818,5.50201897163666,9.41033468216626e-06,0.000598497285785774,0.00053490323456524,"CDC25B/KIF20A/KIF14/TPX2/ECT2/UHRF1/CKAP2L/SKA3/SHCBP1/CKAP2/DIAPH3/CDC6/AURKA/BUB1B/KIF4A/MAD2L1/MYC/MZT1",18
"CC","GO:0098644","complex of collagen trimers","5/239","27/19944",0.185185185185185,15.4532775453278,8.27641460436486,1.54253337374677e-05,0.000762362440154485,0.000681356699244326,"COL1A1/COL12A1/COL7A1/COL8A1/COL4A1",5
"CC","GO:0009925","basal plasma membrane","14/239","300/19944",0.0466666666666667,3.89422594142259,5.56267993148556,1.67815631480547e-05,0.000762362440154485,0.000681356699244326,"SLCO4A1/CLDN1/PDPN/SLC22A3/NKD2/SLC7A5/SLC6A6/AQP9/AURKA/SLC4A11/TACSTD2/CA9/SLC5A6/MET",14
"CC","GO:0016323","basolateral plasma membrane","12/239","267/19944",0.0449438202247191,3.75045837055145,4.98295814714732,9.65787212213515e-05,0.00383900416854872,0.00343108614865328,"SLCO4A1/CLDN1/PDPN/SLC22A3/NKD2/SLC7A5/SLC6A6/AQP9/AURKA/SLC4A11/CA9/SLC5A6",12
"CC","GO:0005788","endoplasmic reticulum lumen","13/239","319/19944",0.0407523510971787,3.40068991749846,4.76028059322689,0.000132852362721934,0.004694116816175,0.00419533777016634,"COL1A1/STC2/COL12A1/COL7A1/COL8A1/FKBP10/COL4A1/WNT5A/PCSK9/EVA1A/SERPINH1/SPP1/POGLUT2",13
"CC","GO:0005604","basement membrane","7/239","100/19944",0.07,5.84133891213389,5.34511252383042,0.000202060601241152,0.00642552711946865,0.00574277498264328,"COL7A1/COL8A1/TGFBI/COL4A1/THBS2/LOXL2/VWA2",7
"CC","GO:0000775","chromosome, centromeric region","11/239","267/19944",0.0411985018726592,3.4379201730055,4.4167380674578,0.000396272270355337,0.0114558710884543,0.0102386136838221,"SKA3/HJURP/NUF2/DSCC1/AURKA/SNAI1/TOP2A/CENPW/BUB1B/MAD2L1/MTBP",11
"CC","GO:0072686","mitotic spindle","9/239","194/19944",0.0463917525773196,3.87128499331407,4.42587956175649,0.000572173991255065,0.0143816153250345,0.0128534794364757,"KIF20A/TPX2/ECT2/CKAP2L/SKA3/CKAP2/CDC6/AURKA/MAD2L1",9
"CC","GO:0005581","collagen trimer","6/239","86/19944",0.0697674418604651,5.82193247056534,4.93524334881689,0.000587927670520278,0.0143816153250345,0.0128534794364757,"CTHRC1/COL1A1/COL12A1/COL7A1/COL8A1/COL4A1",6
"CC","GO:0016324","apical plasma membrane","14/239","425/19944",0.0329411764705882,2.74886537041595,4.01354407699769,0.000645965174236116,0.0146726375290775,0.0131135787250941,"CLDN1/PDPN/SLC22A3/SLC7A11/SLC7A5/SPTBN2/SLC39A10/SAPCD2/SLC6A6/SLC4A11/STC1/DPEP1/SLC5A6/CRIPTO",14
"CC","GO:0005902","microvillus","6/239","97/19944",0.0618556701030928,5.16171332441876,4.52497900742591,0.00110812324434892,0.0234922127801971,0.0209960193666111,"PDPN/SLC7A11/SLC7A5/SLC6A6/DPEP1/CA9",6
"CC","GO:0000776","kinetochore","8/239","175/19944",0.0457142857142857,3.81475194261805,4.118819656396,0.00126333279246887,0.0250086986190701,0.0223513691729524,"SKA3/HJURP/NUF2/AURKA/CENPW/BUB1B/MAD2L1/MTBP",8
"CC","GO:0032153","cell division site","5/239","68/19944",0.0735294117647059,6.13586020182131,4.67206774624081,0.00133694300793771,0.0250086986190701,0.0223513691729524,"ANLN/KIF20A/CEP55/ECT2/DIAPH3",5
"CC","GO:0000940","outer kinetochore","3/239","20/19944",0.15,12.5171548117155,5.67515740315814,0.00166620783970623,0.0294363385014767,0.0263085448374668,"SKA3/NUF2/BUB1B",3
"CC","GO:0000922","spindle pole","8/239","185/19944",0.0432432432432432,3.60854913490897,3.92562111221068,0.00179608959404503,0.0300608679424379,0.0268667141491501,"CDC25B/TPX2/CKAP2L/CKAP2/DIAPH3/CDC6/AURKA/MAD2L1",8
"CC","GO:0000779","condensed chromosome, centromeric region","8/239","187/19944",0.0427807486631016,3.56995502651422,3.88858684124103,0.00192128700288349,0.0305484633458475,0.0273024995146602,"SKA3/HJURP/NUF2/AURKA/CENPW/BUB1B/MAD2L1/MTBP",8
"CC","GO:0000793","condensed chromosome","10/239","288/19944",0.0347222222222222,2.89748953974895,3.57218578635419,0.0025830861000007,0.0391153038000105,0.0349590600000094,"SKA3/HJURP/NUF2/AURKA/TOP2A/CENPW/BUB1B/MAD2L1/RRS1/MTBP",10
"MF","GO:0005201","extracellular matrix structural constituent","13/233","175/18662",0.0742857142857143,5.94987124463519,7.39731713372537,3.15917089017791e-07,0.000151956119817558,0.000131687544474785,"CTHRC1/MFAP2/ANOS1/COL1A1/CHI3L1/BGN/COL12A1/COL7A1/COL8A1/TGFBI/COL4A1/THBS2/MUC5AC",13
"MF","GO:0004222","metalloendopeptidase activity","8/233","109/18662",0.073394495412844,5.8784895853841,5.74362518035034,6.73318154986124e-05,0.0161933016274163,0.0140333678618161,"MMP7/MMP3/MMP11/ADAMTS12/MMP1/ADAM12/MMP12/ADAMTS6",8
"MF","GO:0008237","metallopeptidase activity","10/233","185/18662",0.0540540540540541,4.32942814058694,5.1172226396998,0.000114204656580566,0.0183108132717508,0.0158684364932998,"MMP7/MMP3/MMP11/ADAMTS12/MMP1/ADAM12/MMP12/MATCAP2/DPEP1/ADAMTS6",10
"MF","GO:0030020","extracellular matrix structural constituent conferring tensile strength","5/233","42/18662",0.119047619047619,9.53505007153076,6.22637698438883,0.000169629343101184,0.0203979285079173,0.017677163123176,"COL1A1/COL12A1/COL7A1/COL8A1/COL4A1",5
"MF","GO:0004252","serine-type endopeptidase activity","9/233","178/18662",0.050561797752809,4.04971789554902,4.59691233162999,0.000409874700931776,0.0394299462296369,0.0341706066461018,"MMP7/MMP3/MMP11/MMP1/FAP/PLAU/PRSS22/MMP12/PCSK9",9
