"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","8/128","81/7467",0.0987654320987654,5.76157407407407,5.69008738954098,6.74797364045558e-05,0.0105891290673237,0.0104430347981271,"MMP3/MMP1/CXCL3/CXCL1/CXCL2/HSP90AB1/FOSL1/MUC5AC",8
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","11/128","163/7467",0.0674846625766871,3.93678105828221,5.00628447442955,0.000102807078323531,0.0105891290673237,0.0104430347981271,"MMP7/CCN4/NKD2/WNT5A/SFRP4/CELSR1/LGR5/MYC/FOSL1/CELSR3/LEF1",11
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","9/128","126/7467",0.0714285714285714,4.16685267857143,4.73441206798114,0.00029318404487758,0.0201319710815938,0.0198542177759203,"CLDN2/CLDN1/COL7A1/KRT23/COL4A1/KRT80/S100A11/KRT7/PKP1",9
