"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","24/294","156/7467",0.153846153846154,3.90737833594976,7.42921111501578,7.47279771946984e-09,2.05501937285421e-06,2.02158843568816e-06,"TRIP13/CDC25B/TICRR/ORC6/BUB1/MCM2/CDC6/CCNB1/MCM6/CDK2/BUB1B/MAD2L1/TTK/SGO1/MCM3/MYC/DBF4/MCM4/MTBP/SKP2/TFDP1/FBXO5/CCNE1/PRKDC",24
"Genetic Information Processing","Translation","hsa03008","Ribosome biogenesis in eukaryotes","17/294","99/7467",0.171717171717172,4.36126571840858,6.81573784030799,2.45689939317305e-07,3.37823666561295e-05,3.3232797055025e-05,"NAT10/DKC1/RPP40/UTP14A/GTPBP4/RAN/GNL3/NOB1/NOP58/NOL6/XRN2/WDR3/UTP4/WDR43/RIOK1/POP1/REXO2",17
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","12/294","81/7467",0.148148148148148,3.76266061980348,5.06095688456476,6.86005778505435e-05,0.00628838630296649,0.0061860871956455,"MMP3/MMP1/CXCL3/CXCL1/IL1B/CEBPB/CXCL2/S100A9/HSP90AB1/FOSL1/PTGS2/MUC5AC",12
"Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","11/294","83/7467",0.132530120481928,3.36599459060733,4.38807651855866,0.00037613061504064,0.025858979784044,0.0254383073856433,"CBX2/CBX8/EPOP/CBX3/CBX4/TEX10/PHF19/FOXK1/EZH2/WDR5/TFDP1",11
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","12/294","104/7467",0.115384615384615,2.93053375196232,4.01359836303389,0.000747363611746084,0.0411049986460346,0.0404363048881566,"KPNA2/CSE1L/XPO5/RAN/XPOT/IPO7/RAE1/NUP107/NUP58/NUP93/IPO5/NUP205",12
