"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"MF","GO:0004252","serine-type endopeptidase activity","8/145","178/18662",0.0449438202247191,5.78442464161178,5.67554908468137,7.67726604450472e-05,0.00757686068644278,0.00685439861065883,"MMP7/MMP3/MMP11/MMP1/FAP/PRSS22/PLAU/PCSK9",8
"MF","GO:0070888","E-box binding","5/145","59/18662",0.0847457627118644,10.9070718877849,6.74444117945321,9.43998411154713e-05,0.00757686068644278,0.00685439861065883,"BMAL2/TWIST1/SNAI1/ASCL2/MYC",5
"MF","GO:0008237","metallopeptidase activity","8/145","185/18662",0.0432432432432432,5.56555452003728,5.52242482136966,0.000100488868520461,0.00757686068644278,0.00685439861065883,"MMP7/MMP3/MMP11/MMP1/ADAMTS12/ADAM12/DPEP1/ADAMTS6",8
"MF","GO:0008236","serine-type peptidase activity","8/145","196/18662",0.0408163265306122,5.25320197044335,5.29692435368211,0.000149811154606522,0.00941313421444314,0.00851558141973915,"MMP7/MMP3/MMP11/MMP1/FAP/PRSS22/PLAU/PCSK9",8
"MF","GO:0017171","serine hydrolase activity","8/145","202/18662",0.0396039603960396,5.09716626835097,5.18095200597745,0.000184194071038877,0.00992016639737953,0.00897426752129267,"MMP7/MMP3/MMP11/MMP1/FAP/PRSS22/PLAU/PCSK9",8
"MF","GO:0030020","extracellular matrix structural constituent conferring tensile strength","4/145","42/18662",0.0952380952380952,12.2574712643678,6.46311373052246,0.000311120878450819,0.014115893014705,0.0127699269489444,"COL1A1/COL12A1/COL8A1/COL4A1",4
"MF","GO:0004175","endopeptidase activity","11/145","406/18662",0.0270935960591133,3.48703923900119,4.48341545830305,0.000336984183374922,0.014115893014705,0.0127699269489444,"MMP7/MMP3/MMP11/MMP1/ADAMTS12/FAP/PRSS22/PLAU/ADAM12/PCSK9/ADAMTS6",11
"MF","GO:0008009","chemokine activity","4/145","50/18662",0.08,10.296275862069,5.82456675703385,0.000610095931012599,0.023000616599175,0.0208074822787455,"CXCL11/CXCL3/CXCL1/CXCL2",4
"MF","GO:0008514","organic anion transmembrane transporter activity","8/145","270/18662",0.0296296296296296,3.81343550446999,4.12069538246425,0.00125176901022033,0.042901537895733,0.0388108286422379,"SLCO4A1/GRIN2D/SLC7A11/SLC22A3/SLC7A5/SLC4A11/SLC6A6/SLC39A10",8
"MF","GO:0030280","structural constituent of skin epidermis","4/145","62/18662",0.0645161290322581,8.30344827586207,5.09722113025631,0.00137521945211685,0.0432048111206712,0.0390851844285843,"KRT23/KRT80/KRT7/PKP1",4
